KEY,en,notes,sp,fr,de,it,pt-br,ru,ko,ja,zh
EVENT_DEADRAT_NAME,Dead Rat,udpated ✔️,Rata muerta,Rat mort,Tote Ratte,Ratto Morto,Rato Morto,,,,死老鼠
EVENT_DEADRAT_QUES,"{catname} finds a dead rat...

Stench from the corpse fills {his} nose, a powerful but intriguing smell.",,"{catname} encuentra una rata muerta.

El hedor del cadáver le llena la nariz de un olor pungente pero intrigante.","{catname} trouve un rat mort...

La puanteur du cadavre lui emplit les narines. C'est une odeur forte, mais intrigante.","{catname} findet eine tote Ratte&nbsp;…

Der Gestank der Leiche steigt in {his}e Nase&nbsp;… Streng, aber faszinierend.",,"{catname} encontra um rato morto...

O mau cheiro do cadáver preenche seu nariz. Um odor poderoso, porém intrigante.",,,,"{catname} 发现了一只死老鼠……

尸体的恶臭充满了鼻子，
那是一股强烈但迷人的气味。"
EVENT_DEADRAT_QUES_M,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere gli riempie il naso: un odore tanto potente quanto intrigante.",,,,,
EVENT_DEADRAT_QUES_F,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere le riempie il naso: un odore tanto potente quanto intrigante.",,,,,
EVENT_DEADRAT_QUES_N,,,,,,"{catname} trova un ratto morto...

La puzza del cadavere riempie il suo naso: un odore tanto potente quanto intrigante.",,,,,
EVENT_DEADRAT_REW1,"{catname} decimates the corpse!

Tiny screams can be heard as nearby rats scamper away in fear!",,"¡{catname} hace trizas el cadáver!

Se oyen los chillidos de ratas cercanas que se escabullen despavoridas.","{catname} massacre le cadavre&nbsp;!

Les rats alentour s'enfuient en poussant de petits cris de peur&nbsp;!","{catname} zerfetzt die Leiche!

Etliche quiekende Schreie ertönen in der Nähe und alle Ratten im Umkreis fliehen vor Angst!","{catname} distrugge il cadavere!

Si sentono piccole urla mentre i vicini ratti sgattaiolano via in preda alla paura!","{catname} estraçalha o cadáver!

Pequenos gritos podem ser ouvidos à medida que ratos próximos fogem apavorados!",,,,"{catname} 毁坏了尸体！

随着附近的耗子恐惧地逃窜，
可以听到微小的尖叫声！"
EVENT_DEADRAT_REW1_M,,,,,,,,,,,
EVENT_DEADRAT_REW1_F,,,,,,,,,,,
EVENT_DEADRAT_REW1_N,,,,,,,,,,,
EVENT_DEADRAT_REW2,"{catname} rips the body apart!

Among the remains {he} sees something interesting...
",,"¡{catname} despedaza el cuerpo!

Entre los restos ve algo interesante...
","{catname} éventre le cadavre&nbsp;!

Parmi les restes, {he} ne remarque rien d'intéressant...","{catname} reißt die Leiche auseinander!

In den Überresten findet {he} etwas&nbsp;…
","{catname} lacera il corpo!

Tra i resti, vede qualcosa di interessante...","{catname} destrói o corpo!

Entre os restos, havia algo interessante...",,,,"{catname} 撕碎了尸体！

在残骸中，
{he}看到了一些有趣的东西……
"
EVENT_DEADRAT_REW2_M,,,,,,,,,,,
EVENT_DEADRAT_REW2_F,,,,,,,,,,,
EVENT_DEADRAT_REW2_N,"{catname} rips the body apart!

Among the remains they see something interesting...",,"¡{catname} despedaza el cuerpo!

Entre los restos ve algo interesante...",,"{catname} reißt die Leiche auseinander!

In den Überresten ist etwas verborgen&nbsp;…","{catname} lacera il corpo!

Tra i resti, vede qualcosa di interessante...",,,,,"{catname} 撕碎了尸体！

在残骸中，
他们看到了一些有趣的东西……"
EVENT_DEADRAT_REW3,"{catname} smashes the rat corpse, tearing it limb from limb!

From around {him}, {catname} hears chittering through the walls as angry rats prepare to ambush!",,"¡{catname} destroza el cadáver de la rata y lo descuartiza!

Oye a través de las paredes de su alrededor los chillidos de ratas enfurecidas que se preparan para atacar.","{catname} frappe violemment le cadavre du rat, le démembrant de part en part&nbsp;!

Tout autour, {he} entend des couinements dans les murs. Des rats en colère s'apprêtent à prendre {catname} en embuscade&nbsp;!","{catname} schlägt auf die Rattenleiche ein und reißt ihr alle Gliedmaßen aus!

Plötzlich hört {he} wütendes Schnattern, das aus den Wänden zu dringen scheint. Die Ratten bereiten einen Angriff vor!","{catname} colpisce il corpo del ratto, smembrandolo!

{catname} sente attraverso le mura il chiacchiericcio dei ratti furibondi che preparano un'imboscata nelle vicinanze!","{catname} destrói o corpo, arrancando membro a membro!
{catname} ouve sons pelas paredes ao redor enquanto ratos furiosos preparam uma emboscada!",,,,"{catname} 猛击老鼠尸体，将其肢解！

{catname} 听到周围墙壁里传来吱吱声，
愤怒的老鼠正准备偷袭！"
EVENT_DEADRAT_REW3_M,,,,,,,,,,,
EVENT_DEADRAT_REW3_F,,,,,,,,,,,
EVENT_DEADRAT_REW3_N,,,,,,,,,,,
EVENT_DEADRAT_REW4,"With a surprising fervor, {catname} rips apart the poor dead rat, scattering its remains across the room!

The other cats look on in shock at the extremely violent action!
",,"Con un fervor sorprendente, {catname} despedaza la pobre rata muerta y esparce sus restos por el lugar.

¡Los otros gatos contemplan estupefactos esta muestra de violencia extrema!
","Avec une ferveur des plus surprenantes, {catname} déchiquette le pauvre rat mort, répandant ses entrailles un peu partout dans la pièce&nbsp;!

Les autres chats assistent avec stupéfaction à l'extrême violence de son acte&nbsp;!","{catname} ist überraschend begeistert, die arme tote Ratte auseinanderzureißen und verstreut ihre Überreste im ganzen Zimmer!

Die anderen Katzen sehen dem grausamen Schauspiel entsetzt zu!
","Con un fervore sorprendente, {catname} smembra il povero ratto morto, spargendo i suoi resti per la stanza!

Gli altri gatti guardano sconvolti quest'azione di estrema violenza.","Com um fervor surpreendente, {catname} destrói o pobre rato morto, espalhando seus restos pelo cômodo!

Os outros gatos observam em choque a ação de violência extrema!",,,,"{catname} 以惊人的狂热撕碎了可怜的死老鼠，
将其残骸撒得满屋都是！

其他的猫震惊地看着这极度暴力的行为！

"
EVENT_DEADRAT_REW4_M,,,,,,,,,,,
EVENT_DEADRAT_REW4_F,,,,,,,,,,,
EVENT_DEADRAT_REW4_N,,,,,,,,,,,
EVENT_DEADRAT_REW5,"{catname} rips apart the rat's plump body, devouring the tough but delicious flesh!

Satisfied, {catname} saves some for later.
",,"{catname} despedaza el rechoncho cuerpo de la rata y devora su carne dura pero deliciosa.

Tras saciarse, guarda un poco para más tarde.
","{catname} éventre le corps bien gras du rat et dévore sa chair coriace, mais délicieuse&nbsp;!

L'appétit satisfait, {catname} en garde un peu pour plus tard.","{catname} reißt den leblosen Rattenkörper auseinander und verzehrt ihr zähes, aber schmackhaftes Fleisch!

Zufrieden hebt sich {catname} noch etwas für später auf.
",,"{catname} despedaça o corpo rechonchudo do rato, devorando a carne dura, porém deliciosa!

Com satisfação, {catname} guarda um pouco para mais tarde.",,,,"{catname} 撕开老鼠肥硕的身体，
狼吞虎咽地吃下那坚韧但美味的肉！

心满意足后，{catname} 留了一些待会儿吃。

"
EVENT_DEADRAT_REW5_M,,,,,,"{catname} smembra il corpo paffuto del ratto, divorando la carne dura ma deliziosa!

Soddisfatto, {catname} ne mette da parte un po'.",,,,,
EVENT_DEADRAT_REW5_F,,,,,,"{catname} smembra il corpo paffuto del ratto, divorando la carne dura ma deliziosa!

Soddisfatta, {catname} ne mette da parte un po'.",,,,,
EVENT_DEADRAT_REW5_N,,,,,,"{catname} smembra il corpo paffuto del ratto, divorando la carne dura ma deliziosa!

Con lo stomaco pieno, {catname} ne mette da parte un po'.",,,,,
EVENT_DEADRAT_REW6,"{catname} opens {his} mouth and swallows the rat whole! {He} starts to feel a little funny...

{catname} lets out a startled meow as {his} body mutates into a new shape!",,"¡{catname} abre la boca y se traga la rata entera! Empieza a tener una sensación extraña...

{catname} suelta un maullido de sobresalto ¡y su cuerpo muta y adopta una nueva forma!","{catname} ouvre la bouche et avale le rat tout rond&nbsp;! {He} se sent un peu étrange...

{catname} laisse s'échapper un miaulement d'étonnement avant que son corps ne se mette à muter et prendre une nouvelle forme&nbsp;!","{catname} öffnet {his}en Mund und schluckt die Ratte im Ganzen herunter! {He} fühlt sich auf einmal ganz komisch&nbsp;…

{catname} miaut überrascht, als {his} Körper plötzlich mutiert und eine neue Form annimmt!",,"{catname} abre a boca e engole o rato inteiro, mas começa a sentir algo estranho...

{catname} solta um miado assustado enquanto seu corpo se transforma em uma nova forma!",,,,"{catname} 张开嘴，把老鼠整个吞了下去！
{He}开始感觉有点不对劲……

随着身体突变成新的形状，
{catname} 发出了一声受惊的喵叫！"
EVENT_DEADRAT_REW6_M,,,,,,"{catname} apre la bocca e ingoia il ratto in un boccone! Comincia però a sentirsi un po' strano...

{catname} emette un miagolio sbigottito mentre il suo corpo muta in una nuova forma!",,,,,
EVENT_DEADRAT_REW6_F,,,,,,"{catname} apre la bocca e ingoia il ratto in un boccone! Comincia però a sentirsi un po' strana...

{catname} emette un miagolio sbigottito mentre il suo corpo muta in una nuova forma!",,,,,
EVENT_DEADRAT_REW6_N,"{catname} opens their mouth and swallows the rat whole! They start to feel a little funny...

{catname} lets out a startled meow as their body mutates into a new shape!",,"¡{catname} abre la boca y se traga la rata entera! Empieza a tener una sensación extraña...

{catname} suelta un maullido de sobresalto ¡y su cuerpo muta y adopta una nueva forma!",,"{catname} öffnet den Mund, schluckt die Ratte im Ganzen herunter und fühlt sich auf einmal ganz komisch&nbsp;…

{catname} miaut überrascht, mutiert und nimmt plötzlich eine neue Form an!","{catname} apre la bocca e ingoia il ratto in un boccone! Comincia però ad avvertire una strana sensazione...

{catname} emette un miagolio sbigottito mentre il suo corpo muta in una nuova forma!","{catname} abre a boca e engole o rato inteiro, mas começa a sentir algo estranho...

{catname} solta um miado assustado enquanto seu corpo se transforma em uma nova forma!",,,,"{catname} 张开嘴，把老鼠整个吞了下去！
他们开始感觉有点不对劲……

随着身体突变成新的形状，
{catname} 发出了一声受惊的喵叫！"
